,FAs,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.020358379085239797,0.008260853974208102,0.0834021919580213,0.12264795568818732,0.05866734517641412,0.0030466766003896,,,,,,
1,Integrated Gradients,0.0183220015231716,0.022825807477974802,0.0493486984809297,0.0569919075496271,0.0368721037579258,0.0050345021783148,,,,,,
2,Gradient Shap,0.0125255834964404,0.0177289739566817,0.0437101536084337,0.0474769381330346,0.030360412298647603,0.0018627379020647,,,,,,
3,Attention Rollout,-0.0049934252052543995,-0.0015248879452266,-0.0009192638035784998,-0.0198334645340472,-0.006817760372026676,-0.00014947114240059997,,,,,,
4,Attention Last,0.007965082738697,0.0518646042959979,0.12590082605911468,0.1518104890887402,0.08438525054563743,-0.0014614477071736999,,,,,,
5,Attention,0.003433417088478701,0.0658098857598603,0.25175129235569677,0.3169182787872396,0.15947821849781885,-0.0006284128569469002,,,,,,
6,Ours,0.0259450004276602,0.020674787076297198,0.0453254560504521,0.0976666902431844,0.04740298344939847,0.0036702003052265,,,,,,
0,Input X Gradient,,,,,,,0.4670703239001984,0.543292816950673,0.358623400104341,0.21150034672265172,0.39512172191946615,0.003513456587353801
1,Integrated Gradients,,,,,,,0.4198559471362411,0.3266706550636018,0.3086358753553502,0.09949101933405102,0.2886633742223109,0.0032409515836625997
2,Gradient Shap,,,,,,,0.321033450907443,0.2860723993914115,0.23342383354943808,0.2201728417066342,0.2651756313887317,0.0034008197982262
3,Attention Rollout,,,,,,,-0.10947161245259249,0.3944768499438751,0.2022783497489088,-0.008139988771000084,0.1197858996172978,0.0008353098953024999
4,Attention Last,,,,,,,0.43890407061182773,0.5596143309709347,0.39821772218132,0.2183157483667505,0.40376296803270817,0.0014303962393822003
5,Attention,,,,,,,0.5064709939385349,0.5438891880244082,0.3616914756924422,0.18664299276291696,0.3996736626045756,0.0015774573489100996
6,Ours,,,,,,,0.5903857089128697,0.5054620888013313,0.30287294833672584,0.11554889442844274,0.3785674101198424,0.24067361448323218
